<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WIG_ODZIEZ_MV,D,20170104,000000,21859.12,22003.94,21613.54,21667.3,0,0
WIG_ODZIEZ_MV,D,20170105,000000,21667.3,21748.98,21238.65,21348.95,0,0
WIG_ODZIEZ_MV,D,20170109,000000,21348.95,21607.73,21179.47,21607.73,0,0
WIG_ODZIEZ_MV,D,20170110,000000,21607.73,21923.03,21607.73,21918.19,0,0
WIG_ODZIEZ_MV,D,20170111,000000,21918.19,21943.51,21731.64,21885.99,0,0
WIG_ODZIEZ_MV,D,20170112,000000,21885.99,21943.5,21597.58,21614.74,0,0
WIG_ODZIEZ_MV,D,20170113,000000,21614.74,21779.38,21509.46,21779.38,0,0
WIG_ODZIEZ_MV,D,20170116,000000,21779.38,21781.88,21628.09,21694.09,0,0
WIG_ODZIEZ_MV,D,20170117,000000,21694.09,21739.51,21560.81,21581.15,0,0
WIG_ODZIEZ_MV,D,20170118,000000,21581.15,21827.16,21499.34,21567.25,0,0
WIG_ODZIEZ_MV,D,20170119,000000,21567.25,21699.91,21514.03,21691.42,0,0
WIG_ODZIEZ_MV,D,20170120,000000,21691.42,21914.11,21581.84,21581.84,0,0
WIG_ODZIEZ_MV,D,20170123,000000,21581.84,21593.14,21271.83,21271.83,0,0
WIG_ODZIEZ_MV,D,20170124,000000,21271.83,21290.48,20961.98,21065.56,0,0
WIG_ODZIEZ_MV,D,20170125,000000,21065.56,21615.81,21065.56,21457.91,0,0
WIG_ODZIEZ_MV,D,20170126,000000,21457.91,21649.3,21180.52,21308.38,0,0
WIG_ODZIEZ_MV,D,20170127,000000,21308.38,21415.09,21147.53,21147.53,0,0
WIG_ODZIEZ_MV,D,20170130,000000,21147.53,21411.66,21017.48,21057.78,0,0
WIG_ODZIEZ_MV,D,20170131,000000,21057.78,21176.59,20760.86,20810.98,0,0
WIG_ODZIEZ_MV,D,20170201,000000,20810.98,21023.34,20595.73,20681.29,0,0
