<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BNPPENDL1023.PL,D,20200421,000000,1024.1,1024.1,1024.1,1024.1,10,0
BNPPENDL1023.PL,D,20200422,000000,1027.3,1027.3,1027.3,1027.3,180,0
BNPPENDL1023.PL,D,20200428,000000,1028.6,1030.6,1028.6,1030.6,866,0
BNPPENDL1023.PL,D,20200505,000000,1020.1,1020.1,1020.1,1020.1,137,0
BNPPENDL1023.PL,D,20200506,000000,1022,1022.5,1022,1022.5,386,0
BNPPENDL1023.PL,D,20200507,000000,1018.9,1018.9,1018.6,1018.7,968,0
BNPPENDL1023.PL,D,20200508,000000,1019.5,1019.5,1019.5,1019.5,30,0
BNPPENDL1023.PL,D,20200511,000000,1019,1019,1019,1019,29,0
BNPPENDL1023.PL,D,20200512,000000,1021.2,1021.2,1021.2,1021.2,100,0
BNPPENDL1023.PL,D,20200513,000000,1020,1020.3,1020,1020.3,398,0
BNPPENDL1023.PL,D,20200515,000000,1017.2,1017.2,1017.2,1017.2,150,0
BNPPENDL1023.PL,D,20200518,000000,1021.5,1021.5,1021.5,1021.5,25,0
BNPPENDL1023.PL,D,20200525,000000,1018.4,1018.4,1018.4,1018.4,300,0
BNPPENDL1023.PL,D,20200602,000000,1028,1028,1028,1028,80,0
BNPPENDL1023.PL,D,20200604,000000,1034.5,1034.5,1034.5,1034.5,100,0
BNPPENDL1023.PL,D,20200605,000000,1031,1031,1029.5,1029.5,769,0
BNPPENDL1023.PL,D,20200609,000000,1020,1020,1020,1020,123,0
BNPPENDL1023.PL,D,20200616,000000,1030.5,1030.5,1030.5,1030.5,150,0
BNPPENDL1023.PL,D,20200702,000000,1030.5,1030.5,1030.5,1030.5,126,0
BNPPENDL1023.PL,D,20200703,000000,1035.5,1035.5,1035.5,1035.5,250,0
BNPPENDL1023.PL,D,20200706,000000,1033,1033,1033,1033,82,0
BNPPENDL1023.PL,D,20200710,000000,1037.5,1037.5,1037.5,1037.5,13,0
BNPPENDL1023.PL,D,20200714,000000,1036.5,1036.5,1036.5,1036.5,250,0
BNPPENDL1023.PL,D,20200720,000000,1043.5,1046.5,1043.5,1046.5,210,0
BNPPENDL1023.PL,D,20200724,000000,1042.5,1042.5,1042.5,1042.5,55,0
BNPPENDL1023.PL,D,20200728,000000,1042,1043.5,1042,1043.5,103,0
BNPPENDL1023.PL,D,20200805,000000,1043.5,1043.5,1043.5,1043.5,100,0
BNPPENDL1023.PL,D,20200811,000000,1045.5,1045.5,1045.5,1045.5,100,0
BNPPENDL1023.PL,D,20200818,000000,1048,1048,1046.5,1046.5,410,0
BNPPENDL1023.PL,D,20200820,000000,1047,1047,1047,1047,100,0
BNPPENDL1023.PL,D,20200908,000000,1045,1045,1043.5,1043.5,423,0
BNPPENDL1023.PL,D,20200909,000000,1048.5,1048.5,1048.5,1048.5,100,0
BNPPENDL1023.PL,D,20200914,000000,1051.5,1051.5,1051.5,1051.5,50,0
BNPPENDL1023.PL,D,20200918,000000,1053.5,1053.5,1053.5,1053.5,50,0
BNPPENDL1023.PL,D,20200925,000000,1050.5,1050.5,1050.5,1050.5,42,0
BNPPENDL1023.PL,D,20201008,000000,1053,1053,1053,1053,119,0
BNPPENDL1023.PL,D,20201013,000000,1063,1063.5,1063,1063.5,285,0
BNPPENDL1023.PL,D,20201015,000000,1059,1059,1059,1059,100,0
