<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WIG_MS_FIN_DY,D,20190410,000000,3.04,3.04,3.02,3.02,0,0
WIG_MS_FIN_DY,D,20190411,000000,3.02,3.02,3.02,3.02,0,0
WIG_MS_FIN_DY,D,20190412,000000,3.02,3.02,3.02,3.02,0,0
WIG_MS_FIN_DY,D,20190415,000000,3.02,3.04,3.02,3.04,0,0
WIG_MS_FIN_DY,D,20190416,000000,3.04,3.04,3,3,0,0
WIG_MS_FIN_DY,D,20190417,000000,3,3,2.98,2.98,0,0
WIG_MS_FIN_DY,D,20190418,000000,2.98,2.98,2.98,2.98,0,0
WIG_MS_FIN_DY,D,20190423,000000,2.98,2.98,2.96,2.96,0,0
WIG_MS_FIN_DY,D,20190424,000000,2.96,2.98,2.96,2.98,0,0
WIG_MS_FIN_DY,D,20190425,000000,2.98,3.02,2.98,3.02,0,0
WIG_MS_FIN_DY,D,20190426,000000,3.02,3.02,2.98,2.98,0,0
WIG_MS_FIN_DY,D,20190429,000000,2.98,2.98,2.96,2.96,0,0
WIG_MS_FIN_DY,D,20190430,000000,2.96,3.02,2.96,3.02,0,0
WIG_MS_FIN_DY,D,20190502,000000,3.02,3.02,3.02,3.02,0,0
WIG_MS_FIN_DY,D,20190506,000000,3.02,3.04,3.02,3.04,0,0
WIG_MS_FIN_DY,D,20190507,000000,3.04,3.12,3.04,3.12,0,0
WIG_MS_FIN_DY,D,20190508,000000,3.12,3.16,3.12,3.16,0,0
WIG_MS_FIN_DY,D,20190509,000000,3.16,3.2,3.16,3.2,0,0
WIG_MS_FIN_DY,D,20190510,000000,3.2,3.2,3.2,3.2,0,0
WIG_MS_FIN_DY,D,20190513,000000,3.2,3.22,3.2,3.22,0,0
WIG_MS_FIN_DY,D,20190514,000000,3.22,3.24,3.22,3.24,0,0
WIG_MS_FIN_DY,D,20190515,000000,3.24,3.3,3.24,3.3,0,0
WIG_MS_FIN_DY,D,20190516,000000,3.3,3.3,3.2,3.2,0,0
WIG_MS_FIN_DY,D,20190517,000000,3.2,3.24,3.2,3.24,0,0
WIG_MS_FIN_DY,D,20190520,000000,3.24,3.26,3.24,3.26,0,0
WIG_MS_FIN_DY,D,20190521,000000,3.26,3.26,3.26,3.26,0,0
WIG_MS_FIN_DY,D,20190522,000000,3.26,3.26,3.22,3.22,0,0
WIG_MS_FIN_DY,D,20190523,000000,3.22,3.26,3.22,3.26,0,0
WIG_MS_FIN_DY,D,20190524,000000,3.26,3.26,3.22,3.22,0,0
WIG_MS_FIN_DY,D,20190527,000000,3.22,3.24,3.22,3.24,0,0
WIG_MS_FIN_DY,D,20190528,000000,3.24,3.26,3.24,3.26,0,0
WIG_MS_FIN_DY,D,20190529,000000,3.26,3.26,3.2,3.2,0,0
WIG_MS_FIN_DY,D,20190530,000000,3.2,4.04,3.2,4.04,0,0
WIG_MS_FIN_DY,D,20190531,000000,4.04,4.04,4.04,4.04,0,0
WIG_MS_FIN_DY,D,20190603,000000,4.04,4.04,4.04,4.04,0,0
WIG_MS_FIN_DY,D,20190604,000000,4.04,4.04,4.04,4.04,0,0
WIG_MS_FIN_DY,D,20190605,000000,4.04,4.04,4.04,4.04,0,0
WIG_MS_FIN_DY,D,20190606,000000,4.04,4.04,3.94,3.94,0,0
WIG_MS_FIN_DY,D,20190607,000000,3.94,3.94,3.92,3.92,0,0
WIG_MS_FIN_DY,D,20190610,000000,3.92,3.92,3.92,3.92,0,0
WIG_MS_FIN_DY,D,20190611,000000,3.92,3.92,3.92,3.92,0,0
WIG_MS_FIN_DY,D,20190612,000000,3.92,3.94,3.92,3.94,0,0
WIG_MS_FIN_DY,D,20190613,000000,3.94,3.94,3.94,3.94,0,0
WIG_MS_FIN_DY,D,20190614,000000,3.94,3.94,3.94,3.94,0,0
WIG_MS_FIN_DY,D,20190617,000000,3.94,3.94,3.88,3.88,0,0
WIG_MS_FIN_DY,D,20190618,000000,3.88,3.88,3.86,3.86,0,0
WIG_MS_FIN_DY,D,20190619,000000,3.86,3.86,3.82,3.82,0,0
WIG_MS_FIN_DY,D,20190621,000000,3.82,3.88,3.82,3.88,0,0
WIG_MS_FIN_DY,D,20190624,000000,3.88,3.88,3.8,3.8,0,0
WIG_MS_FIN_DY,D,20190625,000000,3.8,3.88,3.8,3.88,0,0
WIG_MS_FIN_DY,D,20190626,000000,3.88,3.9,3.88,3.9,0,0
WIG_MS_FIN_DY,D,20190627,000000,3.9,3.9,3.84,3.84,0,0
WIG_MS_FIN_DY,D,20190628,000000,3.84,3.88,3.84,3.88,0,0
WIG_MS_FIN_DY,D,20190701,000000,3.88,3.88,3.88,3.88,0,0
WIG_MS_FIN_DY,D,20190702,000000,3.88,3.88,3.84,3.84,0,0
WIG_MS_FIN_DY,D,20190703,000000,3.84,3.88,3.84,3.88,0,0
WIG_MS_FIN_DY,D,20190704,000000,3.88,3.88,3.88,3.88,0,0
WIG_MS_FIN_DY,D,20190705,000000,3.88,3.9,3.88,3.9,0,0
WIG_MS_FIN_DY,D,20190708,000000,3.9,3.9,3.9,3.9,0,0
WIG_MS_FIN_DY,D,20190709,000000,3.9,3.98,3.9,3.98,0,0
WIG_MS_FIN_DY,D,20190710,000000,3.98,3.98,3.76,3.76,0,0
WIG_MS_FIN_DY,D,20190711,000000,3.76,3.78,3.76,3.78,0,0
WIG_MS_FIN_DY,D,20190712,000000,3.78,3.84,3.78,3.84,0,0
WIG_MS_FIN_DY,D,20190715,000000,3.84,3.84,3.8,3.8,0,0
WIG_MS_FIN_DY,D,20190716,000000,3.8,3.8,3.76,3.76,0,0
WIG_MS_FIN_DY,D,20190717,000000,3.76,3.78,3.76,3.78,0,0
WIG_MS_FIN_DY,D,20190718,000000,3.78,3.78,3.74,3.74,0,0
WIG_MS_FIN_DY,D,20190719,000000,3.74,3.74,3.72,3.72,0,0
WIG_MS_FIN_DY,D,20190722,000000,3.72,3.72,3.72,3.72,0,0
WIG_MS_FIN_DY,D,20190723,000000,3.72,3.76,3.72,3.76,0,0
WIG_MS_FIN_DY,D,20190724,000000,3.76,3.76,3.76,3.76,0,0
WIG_MS_FIN_DY,D,20190725,000000,3.76,3.84,3.76,3.84,0,0
WIG_MS_FIN_DY,D,20190726,000000,3.84,3.88,3.84,3.88,0,0
WIG_MS_FIN_DY,D,20190729,000000,3.88,3.88,3.88,3.88,0,0
WIG_MS_FIN_DY,D,20190730,000000,3.88,3.96,3.88,3.96,0,0
WIG_MS_FIN_DY,D,20190731,000000,3.96,4.34,3.96,4.34,0,0
WIG_MS_FIN_DY,D,20190801,000000,4.34,4.46,4.34,4.46,0,0
WIG_MS_FIN_DY,D,20190802,000000,4.46,4.46,4.46,4.46,0,0
WIG_MS_FIN_DY,D,20190805,000000,4.46,4.52,4.46,4.52,0,0
WIG_MS_FIN_DY,D,20190806,000000,4.52,4.56,4.52,4.56,0,0
WIG_MS_FIN_DY,D,20190807,000000,4.56,4.56,4.56,4.56,0,0
WIG_MS_FIN_DY,D,20190808,000000,4.56,4.56,4.52,4.52,0,0
WIG_MS_FIN_DY,D,20190809,000000,4.52,4.56,4.52,4.56,0,0
WIG_MS_FIN_DY,D,20190812,000000,4.56,4.58,4.56,4.58,0,0
WIG_MS_FIN_DY,D,20190813,000000,4.58,4.62,4.58,4.62,0,0
WIG_MS_FIN_DY,D,20190814,000000,4.62,4.88,4.62,4.88,0,0
WIG_MS_FIN_DY,D,20190816,000000,4.88,4.88,4.86,4.86,0,0
WIG_MS_FIN_DY,D,20190819,000000,4.86,4.86,4.82,4.82,0,0
WIG_MS_FIN_DY,D,20190820,000000,4.82,4.82,4.82,4.82,0,0
WIG_MS_FIN_DY,D,20190821,000000,4.82,4.82,4.82,4.82,0,0
WIG_MS_FIN_DY,D,20190822,000000,4.82,4.82,4.8,4.8,0,0
WIG_MS_FIN_DY,D,20190823,000000,4.8,4.82,4.8,4.82,0,0
WIG_MS_FIN_DY,D,20190826,000000,4.82,4.82,4.8,4.8,0,0
WIG_MS_FIN_DY,D,20190827,000000,4.8,4.86,4.8,4.86,0,0
WIG_MS_FIN_DY,D,20190828,000000,4.86,5.04,4.86,5.04,0,0
