<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CHP_MV,D,20171124,000000,102.91,102.91,102.91,102.91,0,0
CHP_MV,D,20171127,000000,106.55,130.99,106.55,119.21,0,0
CHP_MV,D,20171128,000000,142.65,142.65,119.27,125.35,0,0
CHP_MV,D,20171129,000000,130.11,137.89,129.74,137.89,0,0
CHP_MV,D,20171130,000000,137.89,144.03,135.38,142.9,0,0
CHP_MV,D,20171201,000000,142.84,148.48,135.38,135.5,0,0
CHP_MV,D,20171204,000000,137.89,142.9,135.38,135.38,0,0
CHP_MV,D,20171205,000000,135.38,135.38,117.33,135.38,0,0
CHP_MV,D,20171206,000000,130.36,130.36,124.1,124.1,0,0
CHP_MV,D,20171207,000000,124.22,130.3,124.1,124.91,0,0
CHP_MV,D,20171208,000000,132.75,132.75,122.84,122.84,0,0
CHP_MV,D,20171211,000000,125.35,131.62,120.34,131.62,0,0
CHP_MV,D,20171212,000000,132.24,148.67,132.24,139.01,0,0
CHP_MV,D,20171213,000000,138.14,139.77,138.14,139.14,0,0
CHP_MV,D,20171214,000000,140.39,145.41,139.14,140.39,0,0
CHP_MV,D,20171215,000000,138.14,148.48,110.56,130.24,0,0
CHP_MV,D,20171218,000000,136.63,136.63,129.11,135.25,0,0
CHP_MV,D,20171219,000000,141.65,146.66,141.65,145.34,0,0
CHP_MV,D,20171220,000000,140.39,143.84,134.12,141.39,0,0
CHP_MV,D,20171221,000000,141.21,148.35,132.87,147.85,0,0
CHP_MV,D,20171222,000000,147.91,147.91,139.14,145.34,0,0
CHP_MV,D,20171227,000000,135.63,148.79,135.63,146.47,0,0
CHP_MV,D,20171228,000000,145.91,145.91,137.89,137.89,0,0
CHP_MV,D,20171229,000000,140.77,161.58,139.83,146.66,0,0
CHP_MV,D,20180103,000000,143.53,143.53,143.53,143.53,0,0
CHP_MV,D,20180104,000000,143.53,145.41,143.53,145.41,0,0
CHP_MV,D,20180108,000000,139.14,139.14,139.14,139.14,0,0
CHP_MV,D,20180109,000000,142.9,147.91,142.9,147.91,0,0
CHP_MV,D,20180110,000000,139.26,139.26,139.26,139.26,0,0
CHP_MV,D,20180111,000000,146.41,146.41,146.28,146.28,0,0
CHP_MV,D,20180115,000000,141.02,141.65,141.02,141.65,0,0
CHP_MV,D,20180116,000000,141.65,145.28,139.14,139.26,0,0
CHP_MV,D,20180117,000000,144.15,144.15,137.89,144.15,0,0
CHP_MV,D,20180118,000000,144.03,144.03,144.03,144.03,0,0
CHP_MV,D,20180119,000000,142.9,142.9,142.9,142.9,0,0
CHP_MV,D,20180122,000000,140.39,140.39,137.89,138.51,0,0
CHP_MV,D,20180123,000000,138.51,139.14,137.89,139.14,0,0
CHP_MV,D,20180124,000000,138.51,138.51,137.89,137.89,0,0
CHP_MV,D,20180125,000000,137.89,150.42,137.89,150.42,0,0
CHP_MV,D,20180126,000000,157.94,173.61,156.06,173.61,0,0
CHP_MV,D,20180129,000000,169.22,179.25,169.22,172.36,0,0
CHP_MV,D,20180130,000000,160.45,172.98,160.45,172.98,0,0
CHP_MV,D,20180131,000000,166.72,176.74,166.72,172.36,0,0
CHP_MV,D,20180201,000000,170.48,176.74,165.46,165.46,0,0
CHP_MV,D,20180202,000000,165.46,166.72,160.45,161.7,0,0
CHP_MV,D,20180205,000000,162.96,162.96,151.05,162.33,0,0
CHP_MV,D,20180206,000000,154.18,154.81,145.41,147.29,0,0
CHP_MV,D,20180207,000000,156.69,159.82,150.42,156.69,0,0
CHP_MV,D,20180208,000000,160.45,161.7,160.45,160.45,0,0
CHP_MV,D,20180209,000000,157.94,157.94,157.94,157.94,0,0
CHP_MV,D,20180212,000000,157.94,157.94,157.94,157.94,0,0
CHP_MV,D,20180213,000000,155.43,159.19,155.43,159.19,0,0
CHP_MV,D,20180214,000000,159.19,159.19,159.19,159.19,0,0
CHP_MV,D,20180215,000000,173.61,173.61,173.61,173.61,0,0
CHP_MV,D,20180216,000000,174.24,174.24,169.22,169.22,0,0
CHP_MV,D,20180219,000000,169.22,169.22,169.22,169.22,0,0
CHP_MV,D,20180221,000000,171.1,171.73,152.93,159.82,0,0
CHP_MV,D,20180222,000000,159.82,171.1,159.82,169.22,0,0
CHP_MV,D,20180223,000000,172.98,180.5,172.98,176.74,0,0
CHP_MV,D,20180226,000000,176.74,180.5,176.74,178,0,0
CHP_MV,D,20180227,000000,178,178,177.37,177.37,0,0
CHP_MV,D,20180228,000000,174.86,178,170.48,170.48,0,0
CHP_MV,D,20180301,000000,165.46,165.46,162.96,165.46,0,0
CHP_MV,D,20180302,000000,163.58,164.21,150.42,150.42,0,0
CHP_MV,D,20180305,000000,156.06,157.94,150.42,150.42,0,0
CHP_MV,D,20180306,000000,150.42,151.67,150.42,150.42,0,0
CHP_MV,D,20180307,000000,150.42,151.05,150.42,150.42,0,0
CHP_MV,D,20180308,000000,150.42,156.69,149.17,149.79,0,0
CHP_MV,D,20180309,000000,149.79,152.93,145.41,145.41,0,0
CHP_MV,D,20180312,000000,148.54,150.42,148.54,150.42,0,0
CHP_MV,D,20180313,000000,151.05,152.3,149.79,149.79,0,0
CHP_MV,D,20180314,000000,151.67,151.67,147.91,151.67,0,0
CHP_MV,D,20180315,000000,151.67,151.67,150.42,150.42,0,0
CHP_MV,D,20180316,000000,150.42,150.42,145.41,145.41,0,0
CHP_MV,D,20180319,000000,146.03,151.05,145.41,146.66,0,0
CHP_MV,D,20180320,000000,149.17,149.17,129.11,138.51,0,0
CHP_MV,D,20180321,000000,140.39,141.65,137.26,139.14,0,0
CHP_MV,D,20180322,000000,135.38,137.89,121.59,137.89,0,0
CHP_MV,D,20180323,000000,139.14,140.39,137.89,140.39,0,0
CHP_MV,D,20180326,000000,141.02,142.9,137.89,141.65,0,0
CHP_MV,D,20180328,000000,140.39,140.39,136.63,136.63,0,0
CHP_MV,D,20180329,000000,136.63,136.63,136.63,136.63,0,0
CHP_MV,D,20180403,000000,139.14,139.14,139.14,139.14,0,0
CHP_MV,D,20180404,000000,139.14,139.14,135.38,135.38,0,0
CHP_MV,D,20180405,000000,135.38,140.39,135.38,140.39,0,0
CHP_MV,D,20180406,000000,139.14,139.14,137.89,137.89,0,0
CHP_MV,D,20180410,000000,142.27,144.15,137.89,137.89,0,0
CHP_MV,D,20180411,000000,137.89,140.39,137.89,137.89,0,0
CHP_MV,D,20180412,000000,138.51,141.02,137.89,138.51,0,0
CHP_MV,D,20180413,000000,138.51,138.51,137.89,137.89,0,0
CHP_MV,D,20180416,000000,136.63,140.39,131.62,140.39,0,0
CHP_MV,D,20180417,000000,139.14,139.14,137.26,137.89,0,0
CHP_MV,D,20180418,000000,137.89,138.51,137.89,138.51,0,0
CHP_MV,D,20180419,000000,135.38,139.14,135.38,139.14,0,0
CHP_MV,D,20180420,000000,140.39,141.02,137.89,137.89,0,0
CHP_MV,D,20180423,000000,137.89,138.51,133.5,138.51,0,0
CHP_MV,D,20180424,000000,136.63,136.63,136.63,136.63,0,0
CHP_MV,D,20180425,000000,136,137.89,135.38,137.89,0,0
CHP_MV,D,20180426,000000,135.38,135.38,135.38,135.38,0,0
CHP_MV,D,20180427,000000,134.12,137.89,133.5,137.89,0,0
CHP_MV,D,20180430,000000,140.39,152.93,137.89,137.89,0,0
CHP_MV,D,20180502,000000,137.89,143.53,137.89,143.53,0,0
CHP_MV,D,20180504,000000,144.15,149.79,144.15,149.17,0,0
CHP_MV,D,20180507,000000,148.54,148.54,140.39,144.15,0,0
CHP_MV,D,20180508,000000,141.65,144.15,141.65,144.15,0,0
CHP_MV,D,20180509,000000,141.65,144.15,139.14,144.15,0,0
CHP_MV,D,20180510,000000,137.89,145.41,137.89,142.27,0,0
