<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPR_PE,D,20200305,000000,14,14,14,14,0,0
SPR_PE,D,20200306,000000,16.8,19.8,13.8,14.8,0,0
SPR_PE,D,20200309,000000,15,15.2,12.7,14.2,0,0
SPR_PE,D,20200310,000000,11.7,12.4,11.2,11.2,0,0
SPR_PE,D,20200311,000000,11.7,12.7,10.1,12.3,0,0
SPR_PE,D,20200312,000000,11.5,11.5,10.9,10.9,0,0
SPR_PE,D,20200313,000000,10.7,10.7,10.5,10.7,0,0
SPR_PE,D,20200316,000000,10.6,12.1,10.6,12.1,0,0
SPR_PE,D,20200317,000000,11.7,11.7,10.7,11.7,0,0
SPR_PE,D,20200318,000000,11.7,11.7,11.3,11.3,0,0
SPR_PE,D,20200319,000000,11.2,11.5,11.2,11.2,0,0
SPR_PE,D,20200320,000000,10.7,10.7,9.3,10.7,0,0
SPR_PE,D,20200323,000000,8.8,9.5,7,9.5,0,0
SPR_PE,D,20200324,000000,9.5,9.9,9.5,9.9,0,0
SPR_PE,D,20200325,000000,9.7,10.3,9.7,10.3,0,0
SPR_PE,D,20200327,000000,10.7,10.7,10.7,10.7,0,0
SPR_PE,D,20200330,000000,11.7,11.7,11.7,11.7,0,0
SPR_PE,D,20200331,000000,10.7,11.5,10.7,11.5,0,0
SPR_PE,D,20200401,000000,9.7,10.7,9.2,10.5,0,0
SPR_PE,D,20200402,000000,9.7,9.7,9.7,9.7,0,0
SPR_PE,D,20200403,000000,10.5,10.5,9.3,9.3,0,0
SPR_PE,D,20200406,000000,10.3,10.5,10.3,10.5,0,0
SPR_PE,D,20200407,000000,10.1,10.1,9.2,10.1,0,0
SPR_PE,D,20200408,000000,10.1,10.7,10.1,10.7,0,0
SPR_PE,D,20200409,000000,10.7,10.7,10.3,10.3,0,0
SPR_PE,D,20200414,000000,10.3,10.3,9.7,9.7,0,0
SPR_PE,D,20200415,000000,9.7,9.7,9.7,9.7,0,0
SPR_PE,D,20200416,000000,9.8,10.3,9.7,9.7,0,0
SPR_PE,D,20200417,000000,9.5,9.8,9.5,9.8,0,0
SPR_PE,D,20200420,000000,9.7,10.1,9.7,9.7,0,0
SPR_PE,D,20200421,000000,9.7,9.7,9.7,9.7,0,0
SPR_PE,D,20200422,000000,9.9,11.5,9.9,11.5,0,0
SPR_PE,D,20200423,000000,13.3,14,11.1,14,0,0
SPR_PE,D,20200424,000000,13.2,13.2,12.6,12.9,0,0
SPR_PE,D,20200427,000000,13.1,13.5,13.1,13.4,0,0
SPR_PE,D,20200428,000000,13.2,13.4,13.2,13.4,0,0
SPR_PE,D,20200429,000000,13.2,13.2,12.6,13.1,0,0
SPR_PE,D,20200430,000000,12.6,12.9,12.6,12.9,0,0
SPR_PE,D,20200504,000000,12.7,12.7,12.7,12.7,0,0
SPR_PE,D,20200505,000000,12.7,12.7,12.7,12.7,0,0
SPR_PE,D,20200506,000000,12.5,12.5,11.9,11.9,0,0
SPR_PE,D,20200507,000000,11.9,14,11.9,13.3,0,0
SPR_PE,D,20200508,000000,13.7,13.8,13.3,13.8,0,0
SPR_PE,D,20200511,000000,13.8,13.8,13.6,13.6,0,0
SPR_PE,D,20200512,000000,13.8,14.7,13.6,13.6,0,0
SPR_PE,D,20200513,000000,14.2,14.5,13.9,14.5,0,0
SPR_PE,D,20200514,000000,14.6,14.7,14.6,14.7,0,0
SPR_PE,D,20200515,000000,14.4,14.4,13.8,13.8,0,0
SPR_PE,D,20200518,000000,13.8,14.8,13.8,14.8,0,0
SPR_PE,D,20200519,000000,14.8,20.4,14.8,19.7,0,0
SPR_PE,D,20200520,000000,21.4,25.6,17.4,24.3,0,0
SPR_PE,D,20200521,000000,24.3,24.3,23.5,23.6,0,0
SPR_PE,D,20200522,000000,23.4,23.4,21.4,21.4,0,0
SPR_PE,D,20200525,000000,21,22,21,22,0,0
SPR_PE,D,20200526,000000,21,21.4,17.6,17.6,0,0
SPR_PE,D,20200527,000000,17.1,17.1,15.1,16.3,0,0
SPR_PE,D,20200528,000000,16.3,16.5,15.8,16.1,0,0
SPR_PE,D,20200529,000000,16.2,17,16.2,17,0,0
SPR_PE,D,20200601,000000,17.2,19.5,17.2,19.4,0,0
SPR_PE,D,20200602,000000,19.4,19.4,15.7,17.6,0,0
SPR_PE,D,20200603,000000,16.8,19.4,16.8,17,0,0
SPR_PE,D,20200604,000000,19,19,16.5,18.6,0,0
SPR_PE,D,20200605,000000,18.4,18.6,18.3,18.3,0,0
