<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DRG_MV,D,20200117,000000,10.5,10.5,10.5,10.5,0,0
DRG_MV,D,20200120,000000,10.5,10.5,9.14,10.08,0,0
DRG_MV,D,20200121,000000,10.08,10.08,9.24,9.25,0,0
DRG_MV,D,20200122,000000,9.25,9.62,9.14,9.16,0,0
DRG_MV,D,20200123,000000,9.16,9.57,8.93,8.93,0,0
DRG_MV,D,20200124,000000,9.03,9.03,8.66,8.93,0,0
DRG_MV,D,20200127,000000,8.72,9.09,8.42,8.46,0,0
DRG_MV,D,20200128,000000,8.46,8.95,8.42,8.78,0,0
DRG_MV,D,20200129,000000,8.69,8.72,8.4,8.72,0,0
DRG_MV,D,20200130,000000,8.09,8.57,8.09,8.13,0,0
DRG_MV,D,20200131,000000,8.13,8.13,7.88,8.09,0,0
DRG_MV,D,20200203,000000,8.06,8.06,7.35,7.92,0,0
DRG_MV,D,20200204,000000,8.39,8.39,7.67,7.96,0,0
DRG_MV,D,20200205,000000,7.69,7.98,7.49,7.64,0,0
DRG_MV,D,20200206,000000,7.64,8.39,7.64,8.29,0,0
DRG_MV,D,20200207,000000,8.3,8.32,8.09,8.09,0,0
DRG_MV,D,20200210,000000,8.23,9.64,8.23,9.64,0,0
DRG_MV,D,20200211,000000,9.64,10.66,9.64,10.5,0,0
DRG_MV,D,20200212,000000,10.58,11.07,10.29,10.92,0,0
DRG_MV,D,20200213,000000,10.9,11.13,10.08,11,0,0
DRG_MV,D,20200214,000000,11.03,11.03,10.4,10.92,0,0
DRG_MV,D,20200217,000000,11.03,11.3,10.71,11.13,0,0
DRG_MV,D,20200218,000000,10.98,13.23,10.96,13.23,0,0
DRG_MV,D,20200219,000000,14.28,15.46,13.86,13.86,0,0
DRG_MV,D,20200220,000000,14.07,15.29,14.07,14.68,0,0
DRG_MV,D,20200221,000000,14.13,14.28,13.67,14.18,0,0
DRG_MV,D,20200224,000000,14.7,14.7,12.29,12.29,0,0
DRG_MV,D,20200225,000000,12.29,13.02,11.03,12.39,0,0
DRG_MV,D,20200226,000000,12.39,13.55,11.34,12.73,0,0
DRG_MV,D,20200227,000000,12.62,13.23,11.34,12.6,0,0
DRG_MV,D,20200228,000000,10.5,11.76,10.08,11.55,0,0
