<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AQT_MV,D,20170825,000000,17.7,17.7,17.7,17.7,0,0
AQT_MV,D,20170828,000000,18.88,20.06,18.88,20.06,0,0
AQT_MV,D,20170829,000000,20.06,22.66,20.06,22.66,0,0
AQT_MV,D,20170830,000000,25.37,30.44,25.37,30.44,0,0
AQT_MV,D,20170831,000000,33.87,36.46,27.14,29.5,0,0
AQT_MV,D,20170904,000000,24.78,24.78,24.78,24.78,0,0
AQT_MV,D,20170905,000000,21.24,21.24,16.99,16.99,0,0
AQT_MV,D,20170906,000000,18.76,21.83,18.76,21.83,0,0
AQT_MV,D,20170907,000000,20.06,24.66,17.82,24.66,0,0
AQT_MV,D,20170908,000000,24.9,30.68,24.9,28.32,0,0
AQT_MV,D,20170911,000000,25.96,27.38,20.77,23.6,0,0
AQT_MV,D,20170914,000000,24.78,27.38,22.42,22.42,0,0
AQT_MV,D,20170915,000000,22.42,22.42,14.4,18.88,0,0
AQT_MV,D,20170920,000000,17.7,17.7,15.93,15.93,0,0
AQT_MV,D,20170921,000000,17.11,17.82,17.11,17.82,0,0
AQT_MV,D,20170925,000000,18.29,20.53,18.29,20.41,0,0
AQT_MV,D,20170927,000000,21.06,21.06,21.06,21.06,0,0
AQT_MV,D,20170928,000000,21.06,21.06,21.06,21.06,0,0
AQT_MV,D,20171003,000000,20.06,20.06,19.71,19.71,0,0
AQT_MV,D,20171005,000000,19.94,19.94,19.35,19.35,0,0
AQT_MV,D,20171009,000000,19,19,19,19,0,0
AQT_MV,D,20171010,000000,18.76,18.76,18.76,18.76,0,0
AQT_MV,D,20171013,000000,19.23,19.23,19.23,19.23,0,0
AQT_MV,D,20171016,000000,19.47,19.66,19.47,19.66,0,0
AQT_MV,D,20171018,000000,19.82,19.82,19.82,19.82,0,0
AQT_MV,D,20171019,000000,18.88,18.88,18.88,18.88,0,0
AQT_MV,D,20171027,000000,18.64,18.64,18.53,18.53,0,0
AQT_MV,D,20171031,000000,18.05,18.05,18.05,18.05,0,0
AQT_MV,D,20171102,000000,18.88,18.88,17.82,17.82,0,0
AQT_MV,D,20171107,000000,18.64,18.64,17.7,17.7,0,0
AQT_MV,D,20171115,000000,18.29,20.68,18.29,20.68,0,0
AQT_MV,D,20171117,000000,20.65,20.65,20.65,20.65,0,0
AQT_MV,D,20171120,000000,20.65,20.65,20.65,20.65,0,0
AQT_MV,D,20171121,000000,20.65,20.65,20.65,20.65,0,0
AQT_MV,D,20171122,000000,20.65,20.65,20.65,20.65,0,0
AQT_MV,D,20171123,000000,20.65,20.65,20.65,20.65,0,0
AQT_MV,D,20171130,000000,20.18,20.18,20.06,20.06,0,0
AQT_MV,D,20171201,000000,20.06,20.06,20.06,20.06,0,0
AQT_MV,D,20171206,000000,20.06,20.06,20.06,20.06,0,0
AQT_MV,D,20171207,000000,20.06,20.06,19.94,19.94,0,0
AQT_MV,D,20171221,000000,19.47,19.47,18.29,18.29,0,0
AQT_MV,D,20171227,000000,18.29,18.29,17.7,17.7,0,0
AQT_MV,D,20180226,000000,17.46,17.46,17.11,17.11,0,0
AQT_MV,D,20180416,000000,17.11,17.11,17.11,17.11,0,0
AQT_MV,D,20180419,000000,17.11,17.11,17.11,17.11,0,0
AQT_MV,D,20180425,000000,17.11,17.11,17.11,17.11,0,0
AQT_MV,D,20180430,000000,17.11,17.11,17.11,17.11,0,0
AQT_MV,D,20180516,000000,17.11,17.11,17.11,17.11,0,0
AQT_MV,D,20180518,000000,16.64,16.64,16.64,16.64,0,0
AQT_MV,D,20180522,000000,16.4,16.4,16.4,16.4,0,0
